"Name","Version","License"
"cssparser","0.36.0","MPL-2.0"
"cssparser-macros","0.6.1","MPL-2.0"
"ctor","0.8.0","Apache-2.0 OR MIT"
"ctor-proc-macro","0.0.7","Apache-2.0 OR MIT"
"darling","0.23.0","MIT"
"darling_core","0.23.0","MIT"
"darling_macro","0.23.0","MIT"
"dbus","0.9.12","Apache-2.0/MIT"
"deranged","0.5.8","MIT OR Apache-2.0"
"derive_more","2.1.1","MIT"
"derive_more-impl","2.1.1","MIT"
"digest","0.10.7","MIT OR Apache-2.0"
"dirs","6.0.0","MIT OR Apache-2.0"
"dirs-sys","0.5.0","MIT OR Apache-2.0"
"dispatch2","0.3.1","Zlib OR Apache-2.0 OR MIT"
"displaydoc","0.2.7","MIT OR Apache-2.0"
"dlopen2","0.8.2","MIT"
"dlopen2_derive","0.4.3","MIT"
"dom_query","0.27.0","MIT"
"dpi","0.1.2","Apache-2.0 AND MIT"
"dtoa","1.0.11","MIT OR Apache-2.0"
"dtoa-short","0.3.5","MPL-2.0"
"dtor","0.3.0","Apache-2.0 OR MIT"
"dtor-proc-macro","0.0.6","Apache-2.0 OR MIT"
"dunce","1.0.5","CC0-1.0 OR MIT-0 OR Apache-2.0"
"dyn-clone","1.0.20","MIT OR Apache-2.0"
"either","1.17.0","MIT OR Apache-2.0"
"embed_plist","1.2.2","MIT OR Apache-2.0"
"embed-resource","3.0.11","MIT"
"encoding_rs","0.8.35","(Apache-2.0 OR MIT) AND BSD-3-Clause"
"endi","1.1.1","MIT"
"enumflags2","0.7.12","MIT OR Apache-2.0"
"enumflags2_derive","0.7.12","MIT OR Apache-2.0"
"equator","0.4.2","MIT"
"equator-macro","0.4.2","MIT"
"equivalent","1.0.2","Apache-2.0 OR MIT"
"erased-serde","0.4.10","MIT OR Apache-2.0"
"errno","0.3.14","MIT OR Apache-2.0"
"euclid","0.22.14","MIT OR Apache-2.0"
"event-listener","5.4.2","Apache-2.0 OR MIT"
"event-listener-strategy","0.5.4","Apache-2.0 OR MIT"
"exr","1.74.2","BSD-3-Clause"
"fastrand","2.5.0","Apache-2.0 OR MIT"
"fax","0.2.7","MIT"
"fdeflate","0.3.7","MIT OR Apache-2.0"
"field-offset","0.3.6","MIT OR Apache-2.0"
"find-msvc-tools","0.1.9","MIT OR Apache-2.0"
"flate2","1.1.9","MIT OR Apache-2.0"
"fnv","1.0.7","Apache-2.0 / MIT"
"foldhash","0.2.0","Zlib"
"font-types","0.11.3","MIT OR Apache-2.0"
"foreign-types","0.5.0","MIT/Apache-2.0"
"foreign-types-macros","0.2.4","MIT/Apache-2.0"
"foreign-types-shared","0.3.1","MIT/Apache-2.0"
"form_urlencoded","1.2.2","MIT OR Apache-2.0"
"funty","2.0.0","MIT"
"futures-channel","0.3.33","MIT OR Apache-2.0"
"futures-core","0.3.33","MIT OR Apache-2.0"
"futures-executor","0.3.33","MIT OR Apache-2.0"
"futures-io","0.3.33","MIT OR Apache-2.0"
"futures-lite","2.6.1","Apache-2.0 OR MIT"
"futures-macro","0.3.33","MIT OR Apache-2.0"
"futures-sink","0.3.33","MIT OR Apache-2.0"
"futures-task","0.3.33","MIT OR Apache-2.0"
"futures-util","0.3.33","MIT OR Apache-2.0"
"gdk","0.18.2","MIT"
"gdk-pixbuf","0.18.5","MIT"
"gdk-pixbuf-sys","0.18.0","MIT"
"gdk-sys","0.18.2","MIT"
"gdkwayland-sys","0.18.2","MIT"
"gdkx11","0.18.2","MIT"
"gdkx11-sys","0.18.2","MIT"
"generic-array","0.14.7","MIT"
"getrandom","0.4.3","MIT OR Apache-2.0"
"getrandom","0.3.4","MIT OR Apache-2.0"
"getrandom","0.2.17","MIT OR Apache-2.0"
"gif","0.14.2","MIT OR Apache-2.0"
"gio","0.18.4","MIT"
"gio-sys","0.18.1","MIT"
"glib","0.18.5","MIT"
"glib-macros","0.18.5","MIT"
"glib-sys","0.18.1","MIT"
"glob","0.3.4","MIT OR Apache-2.0"
"gobject-sys","0.18.0","MIT"
"gtk","0.18.2","MIT"
"gtk3-macros","0.18.2","MIT"
"gtk-sys","0.18.2","MIT"
"half","2.7.1","MIT OR Apache-2.0"
"hashbrown","0.17.1","MIT OR Apache-2.0"
"hashbrown","0.12.3","MIT OR Apache-2.0"
"heck","0.5.0","MIT OR Apache-2.0"
"heck","0.4.1","MIT OR Apache-2.0"
"hermit-abi","0.5.2","MIT OR Apache-2.0"
"hex","0.4.3","MIT OR Apache-2.0"
"html5ever","0.38.0","MIT OR Apache-2.0"
"http","1.4.2","MIT OR Apache-2.0"
"httparse","1.10.1","MIT OR Apache-2.0"
"http-body","1.1.0","MIT"
"http-body-util","0.1.4","MIT"
"hyper","1.11.0","MIT"
"hyper-util","0.1.20","MIT"
"iana-time-zone","0.1.65","MIT OR Apache-2.0"
"iana-time-zone-haiku","0.1.2","MIT OR Apache-2.0"
"ico","0.5.0","MIT"
"icu_collections","2.2.0","Unicode-3.0"
"icu_locale_core","2.2.0","Unicode-3.0"
"icu_normalizer","2.2.0","Unicode-3.0"
"icu_normalizer_data","2.2.0","Unicode-3.0"
"icu_properties","2.2.0","Unicode-3.0"
"icu_properties_data","2.2.0","Unicode-3.0"
"icu_provider","2.2.0","Unicode-3.0"
"ident_case","1.0.1","MIT/Apache-2.0"
"idna","1.1.0","MIT OR Apache-2.0"
"idna_adapter","1.2.2","Apache-2.0 OR MIT"
"image","0.25.10","MIT OR Apache-2.0"
"image-webp","0.2.4","MIT OR Apache-2.0"
"img-parts","0.3.3","MIT OR Apache-2.0"
"imgref","1.12.2","CC0-1.0 OR Apache-2.0"
"indexmap","2.14.0","Apache-2.0 OR MIT"
"indexmap","1.9.3","Apache-2.0 OR MIT"
"infer","0.19.0","MIT"
"interpolate_name","0.2.4","MIT"
"ipnet","2.12.0","MIT OR Apache-2.0"
"is-docker","0.2.0","MIT"
"is-wsl","0.4.0","MIT"
"itertools","0.14.0","MIT OR Apache-2.0"
"itoa","1.0.18","MIT OR Apache-2.0"
"javascriptcore-rs","1.1.2","MIT"
"javascriptcore-rs-sys","1.1.1","MIT"
"jni","0.21.1","MIT/Apache-2.0"
"jni-sys","0.4.1","MIT OR Apache-2.0"
"jni-sys","0.3.1","MIT OR Apache-2.0"
"jni-sys-macros","0.4.1","MIT OR Apache-2.0"
"jobserver","0.1.35","MIT OR Apache-2.0"
"json-patch","3.0.1","MIT/Apache-2.0"
"jsonptr","0.6.3","MIT OR Apache-2.0"
"js-sys","0.3.103","MIT OR Apache-2.0"
"jwalk","0.8.1","MIT"
"kamadak-exif","0.5.5","BSD-2-Clause"
"keyboard-types","0.7.0","MIT OR Apache-2.0"
"kurbo","0.13.1","Apache-2.0 OR MIT"
"lebe","0.5.3","BSD-3-Clause"
"libappindicator","0.9.0","Apache-2.0 OR MIT"
"libappindicator-sys","0.9.0","Apache-2.0 OR MIT"
"libc","0.2.189","MIT OR Apache-2.0"
"libdbus-sys","0.2.7","Apache-2.0/MIT"
"libdeflater","1.25.2","Apache-2.0"
"libdeflate-sys","1.25.2","Apache-2.0"
"libfuzzer-sys","0.4.13","(MIT OR Apache-2.0) AND NCSA"
"libloading","0.7.4","ISC"
"libm","0.2.16","MIT"
"libredox","0.1.18","MIT"
"libwebp-sys","0.9.6","MIT"
"linux-raw-sys","0.12.1","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"litemap","0.8.2","Unicode-3.0"
"lock_api","0.4.14","MIT OR Apache-2.0"
"log","0.4.33","MIT OR Apache-2.0"
"loop9","0.1.5","MIT"
"lopdf","0.34.0","MIT"
"markup5ever","0.38.0","MIT OR Apache-2.0"
"maybe-rayon","0.1.1","MIT"
"md-5","0.10.6","MIT OR Apache-2.0"
"memchr","2.8.3","Unlicense OR MIT"
"memoffset","0.9.1","MIT"
"mime","0.3.17","MIT OR Apache-2.0"
"minimal-lexical","0.2.1","MIT/Apache-2.0"
"miniz_oxide","0.8.9","MIT OR Zlib OR Apache-2.0"
"mio","1.2.2","MIT"
"moxcms","0.8.1","BSD-3-Clause OR Apache-2.0"
"mozjpeg","0.10.13","IJG"
"mozjpeg-sys","2.2.3","IJG AND Zlib AND BSD-3-Clause"
"muda","0.19.3","Apache-2.0 OR MIT"
"mutate_once","0.1.2","BSD-2-Clause"
"nasm-rs","0.3.2","MIT OR Apache-2.0"
"ndk","0.9.0","MIT OR Apache-2.0"
"ndk-sys","0.6.0+11769913","MIT OR Apache-2.0"
"new_debug_unreachable","1.0.6","MIT"
"no_std_io2","0.9.4","Apache-2.0 OR MIT"
"nom","8.0.0","MIT"
"nom","7.1.3","MIT"
"noop_proc_macro","0.3.0","MIT"
"num_enum","0.7.6","BSD-3-Clause OR MIT OR Apache-2.0"
"num_enum_derive","0.7.6","BSD-3-Clause OR MIT OR Apache-2.0"
"num-bigint","0.4.8","MIT OR Apache-2.0"
"num-complex","0.4.6","MIT OR Apache-2.0"
"num-conv","0.2.2","MIT OR Apache-2.0"
"num-derive","0.4.2","MIT OR Apache-2.0"
"num-integer","0.1.46","MIT OR Apache-2.0"
"num-rational","0.4.2","MIT OR Apache-2.0"
"num-traits","0.2.19","MIT OR Apache-2.0"
"objc2","0.6.4","MIT"
"objc2-app-kit","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-cloud-kit","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-core-data","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-core-foundation","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-core-graphics","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-core-image","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-core-location","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-core-text","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-encode","4.1.0","MIT"
"objc2-exception-helper","0.1.1","Zlib OR Apache-2.0 OR MIT"
"objc2-foundation","0.3.2","MIT"
"objc2-io-surface","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-quartz-core","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-ui-kit","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-user-notifications","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-web-kit","0.3.2","Zlib OR Apache-2.0 OR MIT"
"once_cell","1.21.4","MIT OR Apache-2.0"
"open","5.4.0","MIT"
"option-ext","0.2.0","MPL-2.0"
"ordered-stream","0.2.0","MIT OR Apache-2.0"
"oxipng","9.1.5","MIT"
"pango","0.18.3","MIT"
"pango-sys","0.18.0","MIT"
"parking","2.2.1","Apache-2.0 OR MIT"
"parking_lot","0.12.5","MIT OR Apache-2.0"
"parking_lot_core","0.9.12","MIT OR Apache-2.0"
"paste","1.0.15","MIT OR Apache-2.0"
"pastey","0.1.1","MIT OR Apache-2.0"
"percent-encoding","2.3.2","MIT OR Apache-2.0"
"phf","0.13.1","MIT"
"phf_codegen","0.13.1","MIT"
"phf_generator","0.13.1","MIT"
"phf_macros","0.13.1","MIT"
"phf_shared","0.13.1","MIT"
"pin-project-lite","0.2.17","Apache-2.0 OR MIT"
"piper","0.2.5","MIT OR Apache-2.0"
"pkg-config","0.3.33","MIT OR Apache-2.0"
"plist","1.10.0","MIT"
"png","0.18.1","MIT OR Apache-2.0"
"png","0.17.16","MIT OR Apache-2.0"
"polling","3.11.0","Apache-2.0 OR MIT"
"polycool","0.4.0","MIT OR Apache-2.0"
"potential_utf","0.1.5","Unicode-3.0"
"powerfmt","0.2.0","MIT OR Apache-2.0"
"ppv-lite86","0.2.21","MIT OR Apache-2.0"
"precomputed-hash","0.1.1","MIT"
"proc-macro2","1.0.107","MIT OR Apache-2.0"
"proc-macro-crate","1.3.1","MIT OR Apache-2.0"
"proc-macro-crate","3.5.0","MIT OR Apache-2.0"
"proc-macro-crate","2.0.2","MIT OR Apache-2.0"
"proc-macro-error","1.0.4","MIT OR Apache-2.0"
"proc-macro-error-attr","1.0.4","MIT OR Apache-2.0"
"profiling","1.0.18","MIT OR Apache-2.0"
"profiling-procmacros","1.0.18","MIT OR Apache-2.0"
"pulp","0.22.3","MIT"
"pulp-wasm-simd-flag","0.1.1","MIT"
"pxfm","0.1.30","BSD-3-Clause OR Apache-2.0"
"qoi","0.4.1","MIT/Apache-2.0"
"quick-error","2.0.1","MIT/Apache-2.0"
"quick-xml","0.41.0","MIT"
"quote","1.0.47","MIT OR Apache-2.0"
"radium","0.7.0","MIT"
"rand","0.9.5","MIT OR Apache-2.0"
"rand_chacha","0.9.0","MIT OR Apache-2.0"
"rand_core","0.9.5","MIT OR Apache-2.0"
"rangemap","1.7.1","MIT/Apache-2.0"
"rav1e","0.8.1","BSD-2-Clause"
"ravif","0.13.0","BSD-3-Clause"
"raw-cpuid","11.6.0","MIT"
"raw-window-handle","0.6.2","MIT OR Apache-2.0 OR Zlib"
"rayon","1.12.0","MIT OR Apache-2.0"
"rayon-core","1.13.0","MIT OR Apache-2.0"
"read-fonts","0.39.2","MIT OR Apache-2.0"
"reborrow","0.5.5","MIT"
"redox_syscall","0.5.18","MIT"
"redox_users","0.5.2","MIT"
"ref-cast","1.0.26","MIT OR Apache-2.0"
"ref-cast-impl","1.0.26","MIT OR Apache-2.0"
"r-efi","5.3.0","MIT OR Apache-2.0 OR LGPL-2.1-or-later"
"r-efi","6.0.0","MIT OR Apache-2.0 OR LGPL-2.1-or-later"
"regex","1.13.1","MIT OR Apache-2.0"
"regex-automata","0.4.16","MIT OR Apache-2.0"
"regex-syntax","0.8.11","MIT OR Apache-2.0"
"reqwest","0.13.4","MIT OR Apache-2.0"
"rfd","0.16.0","MIT"
"rgb","0.8.53","MIT"
"rustc_version","0.4.1","MIT OR Apache-2.0"
"rustc-hash","2.1.3","Apache-2.0 OR MIT"
"rustix","1.1.4","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"rustversion","1.0.23","MIT OR Apache-2.0"
"same-file","1.0.6","Unlicense/MIT"
"schemars","1.2.2","MIT"
"schemars","0.9.0","MIT"
"schemars","0.8.22","MIT"
"schemars_derive","0.8.22","MIT"
"scopeguard","1.2.0","MIT OR Apache-2.0"
"selectors","0.36.1","MPL-2.0"
"semver","1.0.28","MIT OR Apache-2.0"
"serde","1.0.229","MIT OR Apache-2.0"
"serde_core","1.0.229","MIT OR Apache-2.0"
"serde_derive","1.0.229","MIT OR Apache-2.0"
"serde_derive_internals","0.29.1","MIT OR Apache-2.0"
"serde_json","1.0.151","MIT OR Apache-2.0"
"serde_repr","0.1.21","MIT OR Apache-2.0"
"serde_spanned","1.1.1","MIT OR Apache-2.0"
"serde_spanned","0.6.9","MIT OR Apache-2.0"
"serde_with","3.21.0","MIT OR Apache-2.0"
"serde_with_macros","3.21.0","MIT OR Apache-2.0"
"serde-untagged","0.1.9","MIT OR Apache-2.0"
"serialize-to-javascript","0.1.2","MIT OR Apache-2.0"
"serialize-to-javascript-impl","0.1.2","MIT OR Apache-2.0"
"servo_arc","0.4.3","MIT OR Apache-2.0"
"sha2","0.10.9","MIT OR Apache-2.0"
"shlex","2.0.1","MIT OR Apache-2.0"
"signal-hook-registry","1.4.8","MIT OR Apache-2.0"
"simd_helpers","0.1.0","MIT"
"simd-adler32","0.3.10","MIT"
"siphasher","1.0.3","MIT/Apache-2.0"
"skrifa","0.42.1","MIT OR Apache-2.0"
"slab","0.4.12","MIT"
"smallvec","1.15.2","MIT OR Apache-2.0"
"socket2","0.6.5","MIT OR Apache-2.0"
"softbuffer","0.4.8","MIT OR Apache-2.0"
"soup3","0.5.0","MIT"
"soup3-sys","0.5.0","MIT"
"stable_deref_trait","1.2.1","MIT OR Apache-2.0"
"string_cache","0.9.0","MIT OR Apache-2.0"
"string_cache_codegen","0.6.1","MIT OR Apache-2.0"
"strsim","0.11.1","MIT"
"subsetter","0.2.6","MIT OR Apache-2.0"
"swift-rs","1.0.7","MIT OR Apache-2.0"
"syn","3.0.3","MIT OR Apache-2.0"
"syn","2.0.119","MIT OR Apache-2.0"
"syn","1.0.109","MIT OR Apache-2.0"
"sync_wrapper","1.0.2","Apache-2.0"
"synstructure","0.13.2","MIT"
"system-deps","6.2.2","MIT OR Apache-2.0"
"tao","0.35.3","Apache-2.0"
"tao-macros","0.1.3","MIT OR Apache-2.0"
"tap","1.0.1","MIT"
"target-lexicon","0.12.16","Apache-2.0 WITH LLVM-exception"
"tauri","2.11.5","Apache-2.0 OR MIT"
"tauri-build","2.6.3","Apache-2.0 OR MIT"
"tauri-codegen","2.6.3","Apache-2.0 OR MIT"
"tauri-macros","2.6.3","Apache-2.0 OR MIT"
"tauri-plugin","2.6.3","Apache-2.0 OR MIT"
"tauri-plugin-dialog","2.7.2","Apache-2.0 OR MIT"
"tauri-plugin-fs","2.5.1","Apache-2.0 OR MIT"
"tauri-plugin-opener","2.5.4","Apache-2.0 OR MIT"
"tauri-runtime","2.11.3","Apache-2.0 OR MIT"
"tauri-runtime-wry","2.11.4","Apache-2.0 OR MIT"
"tauri-utils","2.9.3","Apache-2.0 OR MIT"
"tauri-winres","0.3.6","MIT"
"tempfile","3.27.0","MIT OR Apache-2.0"
"tendril","0.5.1","MIT OR Apache-2.0"
"thiserror","2.0.19","MIT OR Apache-2.0"
"thiserror","1.0.69","MIT OR Apache-2.0"
"thiserror-impl","2.0.19","MIT OR Apache-2.0"
"thiserror-impl","1.0.69","MIT OR Apache-2.0"
"tiff","0.11.3","MIT"
"time","0.3.54","MIT OR Apache-2.0"
"time-core","0.1.9","MIT OR Apache-2.0"
"time-macros","0.2.32","MIT OR Apache-2.0"
"tinystr","0.8.3","Unicode-3.0"
"tinyvec","1.12.0","Zlib OR Apache-2.0 OR MIT"
"tinyvec_macros","0.1.1","MIT OR Apache-2.0 OR Zlib"
"tokio","1.53.1","MIT"
"tokio-util","0.7.19","MIT"
"toml","1.1.4+spec-1.1.0","MIT OR Apache-2.0"
"toml","0.9.12+spec-1.1.0","MIT OR Apache-2.0"
"toml","0.8.2","MIT OR Apache-2.0"
"toml_datetime","1.1.1+spec-1.1.0","MIT OR Apache-2.0"
"toml_datetime","0.7.5+spec-1.1.0","MIT OR Apache-2.0"
"toml_datetime","0.6.3","MIT OR Apache-2.0"
"toml_edit","0.25.13+spec-1.1.0","MIT OR Apache-2.0"
"toml_edit","0.20.2","MIT OR Apache-2.0"
"toml_edit","0.19.15","MIT OR Apache-2.0"
"toml_parser","1.1.3+spec-1.1.0","MIT OR Apache-2.0"
"toml_writer","1.1.2+spec-1.1.0","MIT OR Apache-2.0"
"tower","0.5.3","MIT"
"tower-http","0.6.11","MIT"
"tower-layer","0.3.3","MIT"
"tower-service","0.3.3","MIT"
"tracing","0.1.44","MIT"
"tracing-attributes","0.1.31","MIT"
"tracing-core","0.1.36","MIT"
"trash","5.2.6","MIT"
"tray-icon","0.24.2","MIT OR Apache-2.0"
"try-lock","0.2.5","MIT"
"ttf-parser","0.25.1","MIT OR Apache-2.0"
"typeid","1.0.3","MIT OR Apache-2.0"
"typenum","1.20.1","MIT OR Apache-2.0"
"uds_windows","1.2.1","MIT"
"unic-char-property","0.9.0","MIT/Apache-2.0"
"unic-char-range","0.9.0","MIT/Apache-2.0"
"unic-common","0.9.0","MIT/Apache-2.0"
"unicode-ident","1.0.24","(MIT OR Apache-2.0) AND Unicode-3.0"
"unicode-segmentation","1.13.3","MIT OR Apache-2.0"
"unic-ucd-ident","0.9.0","MIT/Apache-2.0"
"unic-ucd-version","0.9.0","MIT/Apache-2.0"
"url","2.5.8","MIT OR Apache-2.0"
"urlencoding","2.1.3","NOT-CACHED"
"urlpattern","0.3.0","MIT"
"utf8_iter","1.0.4","Apache-2.0 OR MIT"
"uuid","1.24.0","Apache-2.0 OR MIT"
"v_frame","0.3.9","BSD-2-Clause"
"version_check","0.9.5","MIT/Apache-2.0"
"version-compare","0.2.1","MIT"
"vswhom","0.1.0","MIT"
"vswhom-sys","0.1.3","MIT"
"walkdir","2.5.0","Unlicense/MIT"
"want","0.3.1","MIT"
"wasi","0.11.1+wasi-snapshot-preview1","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wasip2","1.0.4+wasi-0.2.12","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wasm-bindgen","0.2.126","MIT OR Apache-2.0"
"wasm-bindgen-futures","0.4.76","MIT OR Apache-2.0"
"wasm-bindgen-macro","0.2.126","MIT OR Apache-2.0"
"wasm-bindgen-macro-support","0.2.126","MIT OR Apache-2.0"
"wasm-bindgen-shared","0.2.126","MIT OR Apache-2.0"
"wasm-streams","0.5.0","MIT OR Apache-2.0"
"web_atoms","0.2.5","MIT OR Apache-2.0"
"webkit2gtk","2.0.2","MIT"
"webkit2gtk-sys","2.0.2","MIT"
"webp","0.3.1","MIT OR Apache-2.0"
"web-sys","0.3.103","MIT OR Apache-2.0"
"webview2-com","0.38.2","MIT"
"webview2-com-macros","0.8.1","MIT"
"webview2-com-sys","0.38.2","MIT"
"weezl","0.1.12","MIT OR Apache-2.0"
"winapi","0.3.9","MIT/Apache-2.0"
"winapi-i686-pc-windows-gnu","0.4.0","MIT/Apache-2.0"
"winapi-util","0.1.11","Unlicense OR MIT"
"winapi-x86_64-pc-windows-gnu","0.4.0","MIT/Apache-2.0"
"windows","0.58.0","MIT OR Apache-2.0"
"windows","0.61.3","MIT OR Apache-2.0"
"windows","0.56.0","MIT OR Apache-2.0"
"windows_aarch64_gnullvm","0.42.2","MIT OR Apache-2.0"
"windows_aarch64_gnullvm","0.53.1","MIT OR Apache-2.0"
"windows_aarch64_gnullvm","0.52.6","MIT OR Apache-2.0"
"windows_aarch64_msvc","0.52.6","MIT OR Apache-2.0"
"windows_aarch64_msvc","0.42.2","MIT OR Apache-2.0"
"windows_aarch64_msvc","0.53.1","MIT OR Apache-2.0"
"windows_i686_gnu","0.42.2","MIT OR Apache-2.0"
"windows_i686_gnu","0.52.6","MIT OR Apache-2.0"
"windows_i686_gnu","0.53.1","MIT OR Apache-2.0"
"windows_i686_gnullvm","0.52.6","MIT OR Apache-2.0"
"windows_i686_gnullvm","0.53.1","MIT OR Apache-2.0"
"windows_i686_msvc","0.53.1","MIT OR Apache-2.0"
"windows_i686_msvc","0.42.2","MIT OR Apache-2.0"
"windows_i686_msvc","0.52.6","MIT OR Apache-2.0"
"windows_x86_64_gnu","0.52.6","MIT OR Apache-2.0"
"windows_x86_64_gnu","0.53.1","MIT OR Apache-2.0"
"windows_x86_64_gnu","0.42.2","MIT OR Apache-2.0"
"windows_x86_64_gnullvm","0.52.6","MIT OR Apache-2.0"
"windows_x86_64_gnullvm","0.53.1","MIT OR Apache-2.0"
"windows_x86_64_gnullvm","0.42.2","MIT OR Apache-2.0"
"windows_x86_64_msvc","0.53.1","MIT OR Apache-2.0"
"windows_x86_64_msvc","0.42.2","MIT OR Apache-2.0"
"windows_x86_64_msvc","0.52.6","MIT OR Apache-2.0"
"windows-collections","0.2.0","MIT OR Apache-2.0"
"windows-core","0.62.2","MIT OR Apache-2.0"
"windows-core","0.61.2","MIT OR Apache-2.0"
"windows-core","0.58.0","MIT OR Apache-2.0"
"windows-core","0.56.0","MIT OR Apache-2.0"
"windows-future","0.2.1","MIT OR Apache-2.0"
"windows-implement","0.60.2","MIT OR Apache-2.0"
"windows-implement","0.58.0","MIT OR Apache-2.0"
